tract,GEOID,longitude,latitude,geometry,nearest_store_index,nearest_store_name,distance_to_nearest_store
040000,36047040000,-73.97613524235126,40.59780879903389,POINT (-73.97613524235126 40.59780879903388),7007,BRANDS FOOD SELLERS 2 INC THE,119.56423115704183
040200,36047040200,-73.982723433725,40.59600090507274,POINT (-73.982723433725 40.59600090507275),23217,MANGO MAS DELI CORPORATION,81.91847408583085
041401,36047041401,-73.9710653857039,40.60170646117,POINT (-73.9710653857039 40.601706461170004),21042,KOSHER CORNER SUPERMARKET INC,125.183641208462
041500,36047041500,-73.91438960597745,40.69195016856612,POINT (-73.91438960597745 40.69195016856612),3611,KING CENTRAL DELI INC,53.761799510567144
041600,36047041600,-73.96348642573662,40.602411212045666,POINT (-73.96348642573662 40.60241121204567),6695,CORNER AVE S CONVENIENCE INC,197.70094053043388
041800,36047041800,-73.96485163788113,40.6053999560292,POINT (-73.96485163788113 40.605399956029196),18142,SASSON & FARAH GLATT KOSHER MEATS INC,88.0987871666301
041900,36047041900,-73.92103313890777,40.69532328060869,POINT (-73.92103313890777 40.69532328060868),4072,MARSIEL SERVICES CENTER INC,64.04796223935352
042100,36047042100,-73.92403840292012,40.697029155704236,POINT (-73.92403840292012 40.69702915570423),3451,242 GOURMET DELI INC,28.549004091001677
042300,36047042300,-73.92728843668404,40.699002045120956,POINT (-73.92728843668404 40.699002045120956),7861,MR AVOCADO DELI & GRILL CORPORATION,62.38638901487107
042500,36047042500,-73.93095865353641,40.70144837362991,POINT (-73.93095865353641 40.70144837362991),11012,MISFIT MOON LLC,100.63274801880583
042600,36047042600,-73.98018912922927,40.60567501607916,POINT (-73.98018912922927 40.60567501607916),16721,DOORDASH ESSENTIALS LLC,46.4111421697703
042700,36047042700,-73.92719134546223,40.70368317210158,POINT (-73.92719134546223 40.70368317210158),15364,MARTINEZ DE LAZARO MARGARITA H,15.210203632486618
042800,36047042800,-73.98432655323455,40.6056457382008,POINT (-73.98432655323455 40.6056457382008),17772,QUENTIN DELI INC,74.16221396420589
042900,36047042900,-73.92345561972158,40.70179911901999,POINT (-73.92345561972158 40.70179911901998),15020,SHUN LI GROCERY INC,26.448514175426
